Designator,Mid X,Mid Y,Rotation,Layer
PLABEL11,29.2100,2.7940,0.00,Top
PLABEL12,27.6860,20.5740,0.00,Top
PLABEL13,24.1300,20.1930,0.00,Top
PLABEL14,21.5900,20.1930,0.00,Top
PLABEL15,19.0500,20.1930,0.00,Top
PLABEL16,16.5100,20.1930,0.00,Top
PLABEL17,10.2870,2.7940,0.00,Top
PLABEL18,35.3060,13.9700,0.00,Top
PLABEL19,34.2900,20.1930,0.00,Top
PLABEL20,36.8300,20.1930,0.00,Top
PLABEL21,39.3700,20.1930,0.00,Top
PLABEL22,41.5290,19.4310,-90.00,Top
PLABEL23,45.9740,21.3360,90.00,Top
PLABEL24,31.7500,2.7940,0.00,Top
PLABEL25,34.2900,2.7940,0.00,Top
PLABEL26,36.8300,2.7940,0.00,Top
PLABEL27,39.3700,2.7940,0.00,Top
PLABEL28,41.4020,2.7940,0.00,Top
PLABEL29,45.5930,2.2860,0.00,Top
PLABEL30,30.2260,20.5740,0.00,Top
PLABEL31,32.7660,20.5740,0.00,Top
PLABEL32,27.5590,9.7790,90.00,Top
PLABEL33,47.8790,11.5570,90.00,Top
PLABEL34,30.0990,3.6830,0.00,Top
PLABEL35,6.4770,2.9210,180.00,Bottom
PLABEL36,13.8430,2.9210,180.00,Bottom
PLABEL37,16.3830,2.9210,180.00,Bottom
PLABEL38,18.9230,2.9210,180.00,Bottom
PLABEL39,21.4630,2.9210,180.00,Bottom
PLABEL40,24.0030,2.9210,180.00,Bottom
PLABEL41,26.5430,2.9210,180.00,Bottom
PLABEL42,29.0830,2.9210,180.00,Bottom
PLABEL43,9.9060,2.9210,180.00,Bottom
PLABEL44,31.6230,2.9210,180.00,Bottom
PLABEL45,34.2900,2.9210,180.00,Bottom
PLABEL46,36.7030,2.9210,180.00,Bottom
PLABEL47,39.2430,2.9210,180.00,Bottom
PLABEL48,41.7830,2.9210,180.00,Bottom
PLABEL49,26.5430,19.9390,180.00,Bottom
PLABEL50,24.0030,19.9390,180.00,Bottom
PLABEL51,21.4630,19.9390,180.00,Bottom
PLABEL52,18.9230,19.9390,180.00,Bottom
PLABEL53,16.3830,19.9390,180.00,Bottom
PLABEL54,34.1630,19.9390,180.00,Bottom
PLABEL55,36.7030,19.9390,180.00,Bottom
PLABEL56,39.2430,20.0660,180.00,Bottom
PLABEL57,41.6560,20.0660,180.00,Bottom
PLABEL58,28.9560,19.9390,180.00,Bottom
PLABEL59,31.7500,19.9390,180.00,Bottom
PLABEL60,45.0850,20.0660,180.00,Bottom
PLABEL61,44.3230,2.9210,180.00,Bottom
PLABEL62,50.1650,14.8590,180.00,Bottom
PLABEL63,9.9060,20.1930,180.00,Bottom
PLABEL64,50.1650,5.9690,180.00,Bottom
PLABEL65,38.9255,9.7790,180.00,Bottom
PLABEL66,15.3670,15.1130,180.00,Bottom
Q3,20.3835,16.8529,0.00,Top
Q5,38.4810,17.7800,180.00,Top
R1,16.7640,8.4455,0.00,Top
R2,5.7150,4.0005,0.00,Top
R3,16.6370,19.0119,0.00,Top
R4,5.8420,5.0800,180.00,Top
R5,24.5872,18.6817,90.00,Top
R6,16.7640,11.1760,0.00,Top
R7,5.1435,17.8435,180.00,Top
R8,7.7089,9.0170,90.00,Top
R9,7.7470,13.6525,90.00,Top
R10,7.7470,11.7475,-90.00,Top
R11,22.6695,4.1910,-90.00,Top
R12,5.8420,5.9690,180.00,Top
R13,5.1435,16.9545,180.00,Top
R14,36.0045,17.9070,-90.00,Top
SW1,9.5250,5.0800,180.00,Top
SW2,15.8750,5.0800,180.00,Top
TP3,11.4300,5.0800,180.00,Bottom
U1,27.6225,17.9070,0.00,Top
U2,16.8910,16.4465,180.00,Top
U3,10.1219,9.5250,90.00,Top
U$13,3.4925,17.0815,180.00,Bottom
U$28,23.4950,3.5560,0.00,Top
U$34,10.7950,20.4470,-90.00,Top
U$35,46.2752,0.7690,-90.00,Top
U$42,27.5590,14.6050,180.00,Bottom
